,name,hard_drive,size,memory,price_selloff,price,brand,store
0,iPhone 13 Pro Max 128GB,6,6.7,128,30490000,33990000,iPhone,fptshop
1,OPPO Reno7 Z 5G 8GB - 128GB,8,6.43,128,10490000,0,OPPO,fptshop
2,Samsung Galaxy S22 Ultra 5G 128GB,8,6.8,128,30990000,0,Samsung,fptshop
3,iPhone 11 64GB,4,6.1,64,12499000,14999000,iPhone,fptshop
4,OPPO Reno7 8GB-128GB,8,6.4,128,8490000,8990000,OPPO,fptshop
5,Xiaomi 11 Lite 5G NE 8GB - 256GB,8,6.55,256,9490000,10490000,Xiaomi,fptshop
6,Nokia G21 6GB-128GB,6,6.5,128,4090000,0,Nokia,fptshop
7,Xiaomi Redmi Note 11S 6GB - 128GB,6,6.43,128,5890000,6190000,Xiaomi,fptshop
8,iPhone 12 64GB,4,6.1,64,17499000,0,iPhone,fptshop
9,Samsung Galaxy Z Fold3 5G 256GB,12,7.,256,35990000,41990000,Samsung,fptshop
10,Samsung Galaxy Z Flip3 5G 128GB,8,6.7,128,21990000,24990000,Samsung,fptshop
11,Xiaomi 11T Pro 5G 12GB - 256GB,12,6.67,256,12990000,0,Xiaomi,fptshop
12,Vivo Y21 4GB+1GB - 64GB,4,6.51,64,3990000,0,Vivo,fptshop
13,Vivo Y15s 3GB - 32GB,3,6.51,32,3090000,0,Vivo,fptshop
14,Samsung Galaxy A22 5G,6,6.6,128,5290000,6290000,Samsung,fptshop
15,TECNO POVA 2 4GB-64GB,4,6.9,64,3490000,4290000,TECNO,fptshop
16,TECNO POP 5 2GB-32GB,2,6.5,32,2390000,0,TECNO,fptshop
17,Realme C35 4GB-128GB,4,6.58,128,4690000,4990000,Realme,fptshop
18,Nokia C30 3GB-32GB,3,6.82,32,2990000,0,Nokia,fptshop
19,Vivo V23e 8GB - 128GB,8,6.44,128,7490000,0,Vivo,fptshop
20,Samsung Galaxy A12 4GB-128GB,4,6.5,128,3690000,0,Samsung,fptshop
21,Xiaomi Redmi 9A 2GB-32GB,2,6.53,32,2390000,0,Xiaomi,fptshop
22,Xiaomi Redmi 10C 4GB - 128GB,4,6.71,128,3690000,0,Xiaomi,fptshop
23,Xiaomi Redmi Note 11 Pro 8GB - 128GB,8,6.67,0,7490000,0,Xiaomi,fptshop
24,Xiaomi 11T 8GB - 128GB,8,6.67,128,10490000,0,Xiaomi,fptshop
25,OPPO A95 8GB-128GB,8,6.43,128,6490000,0,OPPO,fptshop
26,OPPO A76 6GB-128GB,6,6.56,128,5990000,0,OPPO,fptshop
27,OPPO A55 4GB-64GB,4,6.5,64,4490000,0,OPPO,fptshop
28,OPPO A16k 3GB-32GB,3,6.52,32,3290000,0,OPPO,fptshop
29,iPhone 13 Pro 128GB,6,6.1,128,27490000,30990000,iPhone,fptshop
30,Samsung Galaxy S22 Plus 5G 128GB,8,6.6,128,25990000,0,Samsung,fptshop
31,Xiaomi 12 Pro 12GB - 256GB,12,6.73,256,25790000,0,Xiaomi,fptshop
32,Samsung Galaxy S22 5G 128GB,128,,0,21990000,0,Samsung,fptshop
33,iPhone 13 128GB,4,6.1,128,20990000,24990000,iPhone,fptshop
34,Samsung Galaxy S21 Ultra 128GB,12,6.8,128,20990000,0,Samsung,fptshop
35,Samsung Galaxy Z Flip3 5G Phiên Bản Giới Hạn,8,6.7,128,19990000,0,Samsung,fptshop
36,Xiaomi 12 8GB - 256GB,8,6.28,256,19990000,0,Xiaomi,fptshop
37,Samsung Galaxy S21+ 256GB,8,6.7,256,18990000,0,Samsung,fptshop
38,OPPO Find X3 Pro 5G,12,6.7,256,18990000,0,OPPO,fptshop
39,iPhone 13 mini 128GB,4,5.4,128,18490000,21990000,iPhone,fptshop
40,Asus ROG Phone 5S 5G 8GB-128GB,8,6.8,128,15990000,16990000,Asus,fptshop
41,Samsung Galaxy S21 FE 5G 8GB - 128GB,8,6.4,128,14990000,16990000,Samsung,fptshop
42,Samsung Galaxy S21 FE 5G 6GB - 128GB,6,6.4,128,13990000,0,Samsung,fptshop
43,Samsung Galaxy S20 FE 256GB,8,6.5,256,12990000,0,Samsung,fptshop
44,Vivo V23 5G,8,6.44,128,12490000,0,Vivo,fptshop
45,Samsung Galaxy A73 5G,8,6.7,128,11990000,0,Samsung,fptshop
46,iPhone SE 2022 64GB,3,4.7,64,11990000,12990000,iPhone,fptshop
47,Samsung Galaxy A53 5G 256GB,8,6.5,256,10990000,0,Samsung,fptshop
48,Oppo Reno6 5G,8,6.43,128,10990000,0,Oppo,fptshop
49,Samsung Galaxy M52 5G,8,6.7,128,9690000,0,Samsung,fptshop
50,Samsung Galaxy A33 5G,6,6.4,128,8490000,0,Samsung,fptshop
51,Samsung Galaxy A52s 5G,8,6.5,128,7990000,0,Samsung,fptshop
52,Samsung Galaxy A52,8,6.5,128,7790000,0,Samsung,fptshop
53,Realme 9 Pro 5G 8G-128GB,8,6.6,128,7690000,0,Realme,fptshop
54,OPPO Reno6 Z 5G,8,6.43,128,7490000,0,OPPO,fptshop
55,Realme 8 Pro 8GB - 128GB,8,6.4,128,6990000,0,Realme,fptshop
56,Samsung Galaxy A32,6,6.4,128,6490000,0,Samsung,fptshop
57,Vivo Y33s 8GB - 128GB,8,6.58,128,6390000,0,Vivo,fptshop
58,OPPO A94 8GB-128GB,8,6.43,128,5990000,0,OPPO,fptshop
59,Vivo Y53s 8GB+3GB - 128GB,8,6.58,128,5790000,0,Vivo,fptshop
60,Samsung Galaxy A23,4,6.6,128,5490000,0,Samsung,fptshop
61,Xiaomi Redmi Note 10S 8GB-128GB,8,6.43,128,5290000,0,Xiaomi,fptshop
62,Vivo Y21s 4GB+1GB - 128GB,4,6.51,128,4790000,4990000,Vivo,fptshop
63,Samsung Galaxy A13,4,6.6,128,4690000,0,Samsung,fptshop
64,Xiaomi Redmi Note 11 4GB - 64GB,4,6.43,64,4490000,4690000,Xiaomi,fptshop
65,Xiaomi Redmi 10 4GB-128GB,4,6.5,128,4290000,0,Xiaomi,fptshop
66,Xiaomi Redmi 10 2022 4GB-128GB,4,6.5,128,4290000,0,Xiaomi,fptshop
67,Realme C25y 4GB-128GB,4,6.5,128,3990000,0,Realme,fptshop
68,OPPO A16 3GB-32GB,3,6.52,32,3790000,0,OPPO,fptshop
69,Samsung Galaxy A03s,4,6.5,64,3690000,0,Samsung,fptshop
70,Xiaomi Redmi 9C 4GB-128GB,4,6.53,128,3290000,3490000,Xiaomi,fptshop
71,Nokia G10 4GB-64GB,4,6.52,64,3190000,0,Nokia,fptshop
