,name,price_selloff,memory,hard_drive,price,ratings,status,brand,store
0,Samsung Galaxy Z Fold3 5G F926 512GB Ram 12GB,35199000,512GB,12GB,44990000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
1,Samsung Galaxy Z Fold3 5G F926 512GB Ram 12GB (New - BH12T),34799000,512GB,12GB,44990000,1,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
2,Samsung Galaxy S22 Ultra 5G S908 512GB Ram 12GB,29290000,512GB,12GB,36990000,3,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
3,Apple iPhone 13 Pro Max 1 sim 1T,33999000,1T,0,49990000,1,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
4,Apple iPhone 13 Pro 1 sim 1T,33499000,1T,0,0,1,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
5,Samsung Galaxy Z Fold3 5G F926 256GB Ram 12GB (New - BH12T),32999000,256GB,12GB,41990000,1,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
6,Apple iPhone 13 Pro Max 1 sim 512GB,32799000,512GB,0,43990000,9,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
7,Samsung Galaxy Z Fold3 5G F926 256GB Ram 12GB,32399000,256GB,12GB,41990000,6,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
8,Apple iPhone 13 Pro Max 256GB VN/A,31999000,256GB,0,36990000,5,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
9,Apple iPhone 13 Pro Max 1 sim 256GB,29999000,256GB,0,36990000,6,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
10,Samsung Galaxy S22 Ultra 5G S908 512GB Ram 12GB (New - BH12T),29190000,512GB,12GB,36990000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
11,Apple iPhone 13 Pro Max 128GB VN/A,29099000,128GB,0,33990000,6,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
12,Samsung Galaxy S22 Ultra 5G S908 128GB Ram 8GB,23590000,128GB,8GB,30990000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
13,Apple iPhone 13 Pro 1 sim 256GB,28199000,256GB,0,34990000,1,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
14,Apple iPhone 13 Pro Max 1 sim 128GB,27799000,128GB,0,33990000,37,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
15,Apple iPhone 13 Pro 128GB VN/A,26899000,128GB,0,29990000,3,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
16,Apple iPhone 13 512GB VN/A,25999000,512GB,0,33990000,2,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
17,Apple iPhone 13 Pro 1 sim 128GB,25799000,128GB,0,30990000,2,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
18,Samsung Galaxy S22 Plus 5G S906 256GB Ram 8GB,20490000,256GB,8GB,27490000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
19,Samsung Galaxy S22 Plus 5G S906 128GB Ram 8GB,19090000,128GB,8GB,25990000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
20,Apple iPhone 13 256GB VN/A,22899000,256GB,0,27990000,9,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
21,Samsung Galaxy Z Fold2 F916 5G 256GB Ram 12GB,22699000,256GB,12GB,50000000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
22,Samsung Galaxy S22 Ultra 5G S908 128GB Ram 8GB (New - BH12T),22499000,128GB,8GB,30990000,1,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
23,Apple iPhone 13 1 sim 256GB,21999000,256GB,0,27990000,6,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
24,Samsung Galaxy Z Fold 2 F916,21999000,0,0,50000000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
25,Samsung Galaxy S22 5G S901 256GB Ram 8GB,16790000,256GB,8GB,23490000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
26,Samsung Galaxy S22 5G S901 128GB Ram 8GB,15390000,128GB,8GB,21990000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
27,Samsung Galaxy Z Flip3 5G F711 256GB Ram 8GB,20199000,256GB,8GB,26990000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
28,Apple iPhone 13 128GB VN/A,20199000,128GB,0,24990000,13,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
29,Apple iPhone 13 1 sim 128GB,19999000,128GB,0,24990000,5,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
30,Samsung Galaxy Z Flip3 5G F711 256GB Ram 8GB (New - BH12T),19699000,256GB,8GB,26990000,1,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
31,Samsung Galaxy Z Flip3 5G F711 256GB Ram 8GB,19499000,256GB,8GB,26990000,1,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
32,Samsung Galaxy S22 Plus 5G S906 128GB Ram 8GB (New - BH12T),18899000,128GB,8GB,25990000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
33,Samsung Galaxy Z Flip3 5G F711 128GB Ram 8GB,18399000,128GB,8GB,24990000,8,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
34,Xiaomi 12 256GB Ram 8GB,18189000,256GB,8GB,0,0,"Kích hoạt điện tử, New 100%",Xiaomi,Ha Nam Mobile
35,Apple iPhone 12 128GB VN/A,17999000,128GB,0,26990000,1,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
36,Samsung Galaxy S22 5G S901 128GB Ram 8GB (New - BH12T),17590000,128GB,8GB,0,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
37,Apple iPhone 12 Mini 256Gb VN/A,17499000,0,0,25490000,1,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
38,Apple iPhone 12 64GB VN/A,16699000,64GB,0,24990000,1,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
39,Apple iPhone 11 1 Sim 128GB VN/A,13799000,128GB,0,16990000,1,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
40,Apple iphone SE 3 2022 128GB VN/A,13299000,128GB,0,0,0,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
41,Samsung Galaxy S21 FE 5G G990 256GB Ram 8GB (New - BH12T),12999000,256GB,8GB,0,0,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
42,Samsung Galaxy S21 FE 5G G990 256GB Ram 8GB,12799000,256GB,8GB,18990000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
43,Samsung Galaxy S21 FE 5G G990 128GB Ram 6GB,12499000,128GB,6GB,15990000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
44,Apple iPhone 11 1 Sim 64GB VN/A,11999000,64GB,0,14990000,2,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
45,Apple iphone SE 3 2022 64GB VN/A,11799000,64GB,0,0,0,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
46,Samsung Galaxy A73 A736 5G 128GB Ram 8GB,10249000,128GB,8GB,11990000,0,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
47,OPPO Reno7Z 5G,9389000,0,0,10490000,2,"Kích hoạt điện tử, New 100%",OPPO,Ha Nam Mobile
